Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-09-30,254.63,1,0.8803418803418803,1,0.9444444444444444,1,0.9124982859410643,1,0.9199389470871046,1,95.00225450025515,1,0
2025-10-01,255.45,1,0.967741935483871,1,1.0,1,0.9839238686241055,1,0.9576876048019467,1,94.6846933697375,1,0
2025-10-02,257.13,1,0.96875,1,1.0,1,0.9844262477296022,1,0.9579860157706925,1,95.24429045983265,1,0
2025-10-03,258.02,1,0.8803418803418803,1,1.0,1,0.9403671707936906,1,0.922642213299789,1,95.76081938545249,1,0
2025-10-06,256.69,1,0.96875,1,1.0,1,0.9844262477296022,1,0.9579860157706925,1,96.19883953437936,1,0
2025-10-07,256.48,1,0.704225352112676,1,0.9444444444444444,1,0.8247288401374118,1,0.7596179219764373,1,96.58553713685423,1,0
2025-10-08,258.06,0,0.8803418803418803,1,0.9444444444444444,1,0.9124982859410643,1,0.9199389470871046,1,96.77141255061618,1,0
2025-10-09,254.04,0,0.8803418803418803,1,1.0,1,0.9403671707936906,1,0.922642213299789,1,96.9825010500132,1,0
2025-10-10,245.27,0,0.5384615384615384,1,0.16666666666666666,0,0.3519543859862708,0,0.3574577364794055,0,97.05586336644589,0,0
2025-10-13,247.66,0,0.22857142857142856,0,0.125,0,0.176615864667604,0,0.05285660480164465,0,96.70647135038722,0,0
2025-10-14,247.77,0,0.22857142857142856,0,0.125,0,0.176615864667604,0,0.05285660480164465,0,94.19051773154966,0,0
2025-10-15,249.34,0,0.22857142857142856,0,0.125,0,0.176615864667604,0,0.05285660480164465,0,91.68574082461713,0,0
2025-10-16,247.45,0,0.22857142857142856,0,0.125,0,0.176615864667604,0,0.05285660480164465,0,89.56710268785669,0,0
2025-10-17,252.29,1,0.22857142857142856,0,0.125,0,0.176615864667604,0,0.05285660480164465,0,87.34695186992403,0,0
2025-10-20,262.24,1,0.5384615384615384,1,0.2631578947368421,0,0.4003582386250426,0,0.37246376141448506,0,85.85315762615848,0,0
2025-10-21,262.77,1,0.8803418803418803,1,1.0,1,0.9403671707936906,1,0.922642213299789,1,85.07529244385852,1,0
2025-10-22,258.45,1,0.967741935483871,1,1.0,1,0.9839238686241055,1,0.9576876048019467,1,83.88787660348638,1,0
