Date,ret_1d,pred_stacking,signal_adx,ret_stacking,ret_stacking_adx,equity_stacking,equity_stacking_adx
2025-10-20,-0.010794984690342568,1,1,-0.010794984690342568,-0.010794984690342568,1.2920182253126424,1.2616215409734939
2025-10-21,-0.008201536375960217,1,1,-0.008201536375960217,-0.008201536375960217,1.2814216908393372,1.2512743060125049
2025-10-22,0.022803380641046145,1,1,0.022803380641046145,0.022803380641046145,1.3106424374172396,1.2798075902988688
2025-10-23,-0.033988150919862736,1,0,-0.033988150919862736,-0.0,1.2660961244523257,1.2798075902988688
2025-10-24,0.043115373973992455,1,1,0.043115373973992455,0.043115373973992455,1.3206843323451103,1.3349869731693587
2025-10-27,0.01797002785022772,0,0,0.0,0.0,1.3206843323451103,1.3349869731693587
2025-10-28,0.0020844642275539282,1,1,0.0020844642275539282,0.0020844642275539282,1.3234372515917747,1.3377697057591806
2025-10-29,-0.04639119412363757,1,1,-0.04639119412363757,-0.04639119412363757,1.2620414171427272,1.275708971646585
2025-10-30,0.03740059077482383,1,1,0.03740059077482383,0.03740059077482383,1.309242511726161,1.3234212408429102
2025-10-31,0.025867355878745446,1,1,0.025867355878745446,0.025867355878745446,1.3431091537085642,1.3576546490572847
2025-11-03,-0.051476396865725804,1,1,-0.051476396865725804,-0.051476396865725804,1.273970733878273,1.2877674795358143
2025-11-04,0.04008913699185168,1,1,0.04008913699185168,0.04008913699185168,1.325043121152329,1.3393929664365771
2025-11-05,-0.03497305603047152,1,0,-0.03497305603047152,-0.0,1.2787023138334779,1.3393929664365771
2025-11-06,-0.03675629611356557,1,1,-0.03675629611356557,-0.03675629611356557,1.2317019529451132,1.2901618419498073
2025-11-07,0.03657571242317004,1,1,0.03657571242317004,0.03657571242317004,1.2767523293670906,1.3373504304603108
2025-11-10,-0.012600229095074522,0,0,-0.0,-0.0,1.2767523293670906,1.3373504304603108
2025-11-11,-0.020517719848960447,0,0,-0.0,-0.0,1.2767523293670906,1.3373504304603108
2025-11-12,-0.06644217371110084,0,0,-0.0,-0.0,1.2767523293670906,1.3373504304603108
2025-11-13,0.005870792805791281,0,0,0.0,0.0,1.2767523293670906,1.3373504304603108
2025-11-14,0.011302089773710833,0,0,0.0,0.0,1.2767523293670906,1.3373504304603108
2025-11-17,-0.018756725031791044,0,0,-0.0,-0.0,1.2767523293670906,1.3373504304603108
2025-11-18,0.006828660436137168,0,0,0.0,0.0,1.2767523293670906,1.3373504304603108
2025-11-19,-0.02168370504220396,0,0,-0.0,-0.0,1.2767523293670906,1.3373504304603108
2025-11-20,-0.010474913341598668,0,0,-0.0,-0.0,1.2767523293670906,1.3373504304603108
2025-11-21,0.06824516096039268,0,0,0.0,0.0,1.2767523293670906,1.3373504304603108
2025-11-24,0.0038776389487289453,0,0,0.0,0.0,1.2767523293670906,1.3373504304603108
2025-11-25,0.017119694802098184,1,0,0.017119694802098184,0.0,1.2986099395837232,1.3373504304603108
2025-11-26,0.008415771953678153,0,0,0.0,0.0,1.2986099395837232,1.3373504304603108
2025-11-28,-6.97398702839136e-05,1,1,-6.97398702839136e-05,-6.97398702839136e-05,1.2985193746949872,1.3372571638147663
2025-12-01,-0.0020923420281768745,1,1,-0.0020923420281768745,-0.0020923420281768745,1.295802428032911,1.334459164448436
2025-12-02,0.040769732550554494,1,1,0.040769732550554494,0.040769732550554494,1.3486319464621719,1.3888647076826353
2025-12-03,0.017437435644894084,1,0,0.017437435644894084,0.0,1.3721486292372542,1.3888647076826353
2025-12-04,0.0010340351571953565,1,1,0.0010340351571953565,0.0010340351571953565,1.373567479160783,1.390300842618967
2025-12-05,-0.033890109890109876,1,1,-0.033890109890109876,-0.033890109890109876,1.3270171263505428,1.3431833942822977
2025-12-08,0.012716684107557219,1,1,0.012716684107557219,0.012716684107557219,1.343892383951661,1.360264233205902
2025-12-09,0.014106970370869387,1,1,0.014106970370869387,0.014106970370869387,1.362850633993704,1.3794534404402912
2025-12-10,-0.01010078635507805,1,1,-0.01010078635507805,-0.01010078635507805,1.349084770905851,1.3655198759516265
2025-12-11,0.0,1,1,0.0,0.0,1.349084770905851,1.3655198759516265
