date;close;open;high;low
8/10/2004;1122.1;1130.7;1132.9;1120.2
7/10/2004;1130.7;1142;1142;1130.5
6/10/2004;1142;1134.5;1142;1132.9
5/10/2004;1134.5;1135.2;1137.9;1132
4/10/2004;1135.2;1131.5;1140.2;1131.5
1/10/2004;1131.5;1114.6;1131.6;1114.6
30/9/2004;1114.6;1114.8;1116.3;1109.6
29/9/2004;1114.8;1110.1;1114.8;1107.4
28/9/2004;1110.1;1103.5;1111.8;1101.3
27/9/2004;1103.5;1110.1;1110.1;1103.2
24/9/2004;1110.1;1108.4;1113.8;1108.4
23/9/2004;1108.4;1113.6;1113.6;1108
22/9/2004;1113.6;1129.3;1129.3;1112.7
21/9/2004;1129.3;1122.2;1131.5;1122.2
20/9/2004;1122.2;1128.5;1128.5;1120.3
17/9/2004;1128.5;1123.5;1130.5;1123.5
16/9/2004;1123.5;1120.4;1126.1;1120.4
15/9/2004;1120.4;1128.3;1128.3;1119.7
14/9/2004;1128.3;1125.8;1129.5;1124.7
13/9/2004;1125.8;1123.9;1129.8;1123.3
10/9/2004;1123.9;1118.4;1125.3;1114.4
9/9/2004;1118.4;1116.3;1121.3;1113.6
8/9/2004;1116.3;1121.3;1123;1116.3
7/9/2004;1121.3;1113.6;1124.1;1113.6
3/9/2004;1113.6;1118.3;1120.8;1113.6
2/9/2004;1118.3;1105.9;1119.1;1105.6
1/9/2004;1105.9;1104.2;1109.2;1099.1
31/8/2004;1104.2;1099.2;1104.2;1094.7
30/8/2004;1099.2;1107.8;1107.8;1099.2
27/8/2004;1107.8;1105.1;1109.7;1104.6
26/8/2004;1105.1;1105;1106.8;1102.4
25/8/2004;1105;1096.2;1106.3;1093.2
24/8/2004;1096.2;1095.7;1100.9;1092.8
23/8/2004;1095.7;1098.3;1101.4;1094.7
20/8/2004;1098.3;1091.2;1100.3;1089.6
19/8/2004;1091.2;1095.2;1095.2;1086.3
18/8/2004;1095.2;1081.7;1095.2;1078.9
17/8/2004;1081.7;1079.3;1087;1079.3
16/8/2004;1079.3;1064.8;1080.7;1064.8
13/8/2004;1064.8;1063.2;1067.6;1060.7
12/8/2004;1063.2;1075.8;1075.8;1062.8
11/8/2004;1075.8;1079;1079;1065.9
10/8/2004;1079;1065.2;1079;1065.2
9/8/2004;1065.2;1064;1069.5;1064
6/8/2004;1064;1080.7;1080.7;1062.2
5/8/2004;1080.7;1098.6;1098.8;1080
4/8/2004;1098.6;1099.7;1102.5;1092.4
3/8/2004;1099.7;1106.6;1106.6;1099.2
2/8/2004;1106.6;1101.7;1108.6;1097.3
30/7/2004;1101.7;1100.4;1103.7;1097
29/7/2004;1100.4;1095.4;1103.7;1095.4
28/7/2004;1095.4;1094.8;1098.8;1082.2
