Date,close,y_true,proba_p1,pred_p1,proba_p2,pred_p2,proba_weighted,pred_weighted,proba_stacking,pred_stacking,ADX_14_lag1,pred_dyn_ADX,no_trade_zone
2025-11-18,597.69,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,90.07680136110125,0,0
2025-11-19,590.32,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,90.10831222478404,0,0
2025-11-20,589.15,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,90.13982308846685,0,0
2025-11-21,594.25,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,89.97957908424857,0,0
2025-11-24,613.05,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,89.81933508003026,0,0
2025-11-25,636.22,0,0.0,0,0.0,0,0.0,0,0.042680157342111696,0,90.12420065361405,0,0
2025-11-26,633.61,0,0.2,0,0.17647058823529413,0,0.18868520078098136,0,0.12375777620311525,0,90.56478570540271,0,0
2025-11-28,647.95,0,0.2,0,0.17647058823529413,0,0.18868520078098136,0,0.12375777620311525,0,90.24434228098839,0,0
2025-12-01,640.87,0,0.25,0,0.17647058823529413,0,0.21464125244056673,0,0.15075638562625654,0,89.96493357023307,0,0
2025-12-02,647.1,0,0.25,0,0.25,0,0.25,0,0.16392806048571454,0,89.14371359746072,0,0
2025-12-03,639.6,1,0.5555555555555556,1,0.8181818181818182,1,0.6818470013839961,1,0.630875228363099,1,89.15746573643692,1,0
2025-12-04,661.53,1,0.3333333333333333,0,0.8181818181818182,1,0.566486771785839,0,0.38220865561142175,0,89.20984168726463,0,0
2025-12-05,673.42,1,0.6424850160812912,1,0.8181818181818182,1,0.7269739127469137,1,0.7177800555431476,1,89.41267606596747,1,0
2025-12-08,666.8,0,0.6666666666666666,1,0.8181818181818182,1,0.7395271161830748,1,0.7396311090221219,1,90.09861897310422,1,0
2025-12-09,656.96,0,0.6666666666666666,1,0.8181818181818182,1,0.7395271161830748,1,0.7396311090221219,1,91.18835625756479,1,0
2025-12-10,650.13,0,0.5555555555555556,1,0.8181818181818182,1,0.6818470013839961,1,0.630875228363099,1,92.27809354202539,1,0
2025-12-11,652.71,0,0.5555555555555556,1,0.8181818181818182,1,0.6818470013839961,1,0.630875228363099,1,93.36783082648597,1,0
